accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.442,coil20,13.000,1.000,2.000,20.000,16384.000,1008.000,0.151,36.000
0.745,coil20,13.000,1.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.588,coil20,13.000,1.000,10.000,20.000,16384.000,1008.000,0.151,25.000
0.324,coil20,13.000,1.000,20.000,20.000,16384.000,1008.000,0.151,27.000
0.461,coil20,13.000,1.000,50.000,20.000,16384.000,1008.000,0.151,29.000
0.417,coil20,13.000,2.000,2.000,20.000,16384.000,1008.000,0.151,29.000
0.840,coil20,13.000,2.000,5.000,20.000,16384.000,1008.000,0.151,23.000
0.833,coil20,13.000,2.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.852,coil20,13.000,2.000,20.000,20.000,16384.000,1008.000,0.151,27.000
0.782,coil20,13.000,2.000,50.000,20.000,16384.000,1008.000,0.151,32.000
0.403,coil20,13.000,3.000,2.000,20.000,16384.000,1008.000,0.151,29.000
0.852,coil20,13.000,3.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.850,coil20,13.000,3.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.829,coil20,13.000,3.000,20.000,20.000,16384.000,1008.000,0.151,28.000
0.806,coil20,13.000,3.000,50.000,20.000,16384.000,1008.000,0.151,28.000
0.389,coil20,13.000,4.000,2.000,20.000,16384.000,1008.000,0.151,29.000
0.861,coil20,13.000,4.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.840,coil20,13.000,4.000,10.000,20.000,16384.000,1008.000,0.151,25.000
0.836,coil20,13.000,4.000,20.000,20.000,16384.000,1008.000,0.151,28.000
0.812,coil20,13.000,4.000,50.000,20.000,16384.000,1008.000,0.151,31.000
0.410,coil20,13.000,5.000,2.000,20.000,16384.000,1008.000,0.151,29.000
0.859,coil20,13.000,5.000,5.000,20.000,16384.000,1008.000,0.151,23.000
0.850,coil20,13.000,5.000,10.000,20.000,16384.000,1008.000,0.151,25.000
0.845,coil20,13.000,5.000,20.000,20.000,16384.000,1008.000,0.151,28.000
0.743,coil20,13.000,5.000,50.000,20.000,16384.000,1008.000,0.151,32.000
0.419,coil20,13.000,6.000,2.000,20.000,16384.000,1008.000,0.151,30.000
0.877,coil20,13.000,6.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.843,coil20,13.000,6.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.845,coil20,13.000,6.000,20.000,20.000,16384.000,1008.000,0.151,29.000
0.817,coil20,13.000,6.000,50.000,20.000,16384.000,1008.000,0.151,34.000
0.444,coil20,13.000,7.000,2.000,20.000,16384.000,1008.000,0.151,25.000
0.870,coil20,13.000,7.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.850,coil20,13.000,7.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.796,coil20,13.000,7.000,20.000,20.000,16384.000,1008.000,0.151,29.000
0.810,coil20,13.000,7.000,50.000,20.000,16384.000,1008.000,0.151,34.000
0.458,coil20,13.000,8.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.859,coil20,13.000,8.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.850,coil20,13.000,8.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.836,coil20,13.000,8.000,20.000,20.000,16384.000,1008.000,0.151,29.000
0.769,coil20,13.000,8.000,50.000,20.000,16384.000,1008.000,0.151,35.000
0.458,coil20,13.000,9.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.861,coil20,13.000,9.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.852,coil20,13.000,9.000,10.000,20.000,16384.000,1008.000,0.151,26.000
0.840,coil20,13.000,9.000,20.000,20.000,16384.000,1008.000,0.151,29.000
0.769,coil20,13.000,9.000,50.000,20.000,16384.000,1008.000,0.151,35.000
0.512,coil20,13.000,10.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.856,coil20,13.000,10.000,5.000,20.000,16384.000,1008.000,0.151,24.000
0.847,coil20,13.000,10.000,10.000,20.000,16384.000,1008.000,0.151,27.000
0.843,coil20,13.000,10.000,20.000,20.000,16384.000,1008.000,0.151,31.000
0.775,coil20,13.000,10.000,50.000,20.000,16384.000,1008.000,0.151,38.000
0.468,coil20,13.000,11.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.884,coil20,13.000,11.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.819,coil20,13.000,11.000,10.000,20.000,16384.000,1008.000,0.151,28.000
0.769,coil20,13.000,11.000,20.000,20.000,16384.000,1008.000,0.151,30.000
0.775,coil20,13.000,11.000,50.000,20.000,16384.000,1008.000,0.151,37.000
0.530,coil20,13.000,12.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.856,coil20,13.000,12.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.803,coil20,13.000,12.000,10.000,20.000,16384.000,1008.000,0.151,27.000
0.660,coil20,13.000,12.000,20.000,20.000,16384.000,1008.000,0.151,32.000
0.757,coil20,13.000,12.000,50.000,20.000,16384.000,1008.000,0.151,40.000
0.569,coil20,13.000,13.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.859,coil20,13.000,13.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.775,coil20,13.000,13.000,10.000,20.000,16384.000,1008.000,0.151,28.000
0.681,coil20,13.000,13.000,20.000,20.000,16384.000,1008.000,0.151,31.000
0.819,coil20,13.000,13.000,50.000,20.000,16384.000,1008.000,0.151,39.000
0.495,coil20,13.000,14.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.861,coil20,13.000,14.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.847,coil20,13.000,14.000,10.000,20.000,16384.000,1008.000,0.151,27.000
0.588,coil20,13.000,14.000,20.000,20.000,16384.000,1008.000,0.151,30.000
0.655,coil20,13.000,14.000,50.000,20.000,16384.000,1008.000,0.151,41.000
0.481,coil20,13.000,15.000,2.000,20.000,16384.000,1008.000,0.151,25.000
0.863,coil20,13.000,15.000,5.000,20.000,16384.000,1008.000,0.151,26.000
0.736,coil20,13.000,15.000,10.000,20.000,16384.000,1008.000,0.151,28.000
0.521,coil20,13.000,15.000,20.000,20.000,16384.000,1008.000,0.151,31.000
0.509,coil20,13.000,15.000,50.000,20.000,16384.000,1008.000,0.151,40.000
0.558,coil20,13.000,16.000,2.000,20.000,16384.000,1008.000,0.151,23.000
0.854,coil20,13.000,16.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.692,coil20,13.000,16.000,10.000,20.000,16384.000,1008.000,0.151,27.000
0.403,coil20,13.000,16.000,20.000,20.000,16384.000,1008.000,0.151,32.000
0.162,coil20,13.000,16.000,50.000,20.000,16384.000,1008.000,0.151,42.000
0.558,coil20,13.000,17.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.850,coil20,13.000,17.000,5.000,20.000,16384.000,1008.000,0.151,26.000
0.699,coil20,13.000,17.000,10.000,20.000,16384.000,1008.000,0.151,29.000
0.340,coil20,13.000,17.000,20.000,20.000,16384.000,1008.000,0.151,31.000
0.132,coil20,13.000,17.000,50.000,20.000,16384.000,1008.000,0.151,42.000
0.569,coil20,13.000,18.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.877,coil20,13.000,18.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.653,coil20,13.000,18.000,10.000,20.000,16384.000,1008.000,0.151,28.000
0.199,coil20,13.000,18.000,20.000,20.000,16384.000,1008.000,0.151,34.000
0.086,coil20,13.000,18.000,50.000,20.000,16384.000,1008.000,0.151,44.000
0.498,coil20,13.000,19.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.856,coil20,13.000,19.000,5.000,20.000,16384.000,1008.000,0.151,26.000
0.435,coil20,13.000,19.000,10.000,20.000,16384.000,1008.000,0.151,29.000
0.324,coil20,13.000,19.000,20.000,20.000,16384.000,1008.000,0.151,33.000
0.056,coil20,13.000,19.000,50.000,20.000,16384.000,1008.000,0.151,45.000
0.583,coil20,13.000,20.000,2.000,20.000,16384.000,1008.000,0.151,25.000
0.850,coil20,13.000,20.000,5.000,20.000,16384.000,1008.000,0.151,26.000
0.444,coil20,13.000,20.000,10.000,20.000,16384.000,1008.000,0.151,29.000
0.248,coil20,13.000,20.000,20.000,20.000,16384.000,1008.000,0.151,33.000
0.162,coil20,13.000,20.000,50.000,20.000,16384.000,1008.000,0.151,43.000
0.604,coil20,13.000,21.000,2.000,20.000,16384.000,1008.000,0.151,24.000
0.863,coil20,13.000,21.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.414,coil20,13.000,21.000,10.000,20.000,16384.000,1008.000,0.151,29.000
0.236,coil20,13.000,21.000,20.000,20.000,16384.000,1008.000,0.151,33.000
0.053,coil20,13.000,21.000,50.000,20.000,16384.000,1008.000,0.151,44.000
0.558,coil20,13.000,22.000,2.000,20.000,16384.000,1008.000,0.151,25.000
0.845,coil20,13.000,22.000,5.000,20.000,16384.000,1008.000,0.151,25.000
0.333,coil20,13.000,22.000,10.000,20.000,16384.000,1008.000,0.151,29.000
0.190,coil20,13.000,22.000,20.000,20.000,16384.000,1008.000,0.151,34.000
0.102,coil20,13.000,22.000,50.000,20.000,16384.000,1008.000,0.151,45.000
0.630,coil20,13.000,23.000,2.000,20.000,16384.000,1008.000,0.151,24.000
