accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.135,fashion_mnist,8.000,1.000,2.000,10.000,784.000,60000.000,0.047,443.000
0.465,fashion_mnist,8.000,1.000,5.000,10.000,784.000,60000.000,0.047,132.000
0.538,fashion_mnist,8.000,1.000,10.000,10.000,784.000,60000.000,0.047,160.000
0.505,fashion_mnist,8.000,1.000,20.000,10.000,784.000,60000.000,0.047,213.000
0.437,fashion_mnist,8.000,1.000,50.000,10.000,784.000,60000.000,0.047,337.000
0.604,fashion_mnist,8.000,2.000,2.000,10.000,784.000,60000.000,0.047,576.000
0.775,fashion_mnist,8.000,2.000,5.000,10.000,784.000,60000.000,0.047,129.000
0.771,fashion_mnist,8.000,2.000,10.000,10.000,784.000,60000.000,0.047,154.000
0.762,fashion_mnist,8.000,2.000,20.000,10.000,784.000,60000.000,0.047,217.000
0.755,fashion_mnist,8.000,2.000,50.000,10.000,784.000,60000.000,0.047,332.000
0.631,fashion_mnist,8.000,3.000,2.000,10.000,784.000,60000.000,0.047,455.000
0.800,fashion_mnist,8.000,3.000,5.000,10.000,784.000,60000.000,0.047,155.000
0.796,fashion_mnist,8.000,3.000,10.000,10.000,784.000,60000.000,0.047,195.000
0.787,fashion_mnist,8.000,3.000,20.000,10.000,784.000,60000.000,0.047,246.000
0.755,fashion_mnist,8.000,3.000,50.000,10.000,784.000,60000.000,0.047,415.000
0.612,fashion_mnist,8.000,4.000,2.000,10.000,784.000,60000.000,0.047,402.000
0.805,fashion_mnist,8.000,4.000,5.000,10.000,784.000,60000.000,0.047,126.000
0.801,fashion_mnist,8.000,4.000,10.000,10.000,784.000,60000.000,0.047,160.000
0.793,fashion_mnist,8.000,4.000,20.000,10.000,784.000,60000.000,0.047,223.000
0.762,fashion_mnist,8.000,4.000,50.000,10.000,784.000,60000.000,0.047,378.000
0.609,fashion_mnist,8.000,5.000,2.000,10.000,784.000,60000.000,0.047,399.000
0.802,fashion_mnist,8.000,5.000,5.000,10.000,784.000,60000.000,0.047,138.000
0.803,fashion_mnist,8.000,5.000,10.000,10.000,784.000,60000.000,0.047,175.000
0.797,fashion_mnist,8.000,5.000,20.000,10.000,784.000,60000.000,0.047,241.000
0.694,fashion_mnist,8.000,5.000,50.000,10.000,784.000,60000.000,0.047,403.000
0.597,fashion_mnist,8.000,6.000,2.000,10.000,784.000,60000.000,0.047,322.000
0.808,fashion_mnist,8.000,6.000,5.000,10.000,784.000,60000.000,0.047,165.000
0.801,fashion_mnist,8.000,6.000,10.000,10.000,784.000,60000.000,0.047,184.000
0.791,fashion_mnist,8.000,6.000,20.000,10.000,784.000,60000.000,0.047,295.000
0.687,fashion_mnist,8.000,6.000,50.000,10.000,784.000,60000.000,0.047,484.000
0.593,fashion_mnist,8.000,7.000,2.000,10.000,784.000,60000.000,0.047,312.000
0.799,fashion_mnist,8.000,7.000,5.000,10.000,784.000,60000.000,0.047,148.000
0.808,fashion_mnist,8.000,7.000,10.000,10.000,784.000,60000.000,0.047,192.000
0.791,fashion_mnist,8.000,7.000,20.000,10.000,784.000,60000.000,0.047,268.000
0.643,fashion_mnist,8.000,7.000,50.000,10.000,784.000,60000.000,0.047,456.000
0.588,fashion_mnist,8.000,8.000,2.000,10.000,784.000,60000.000,0.047,358.000
0.800,fashion_mnist,8.000,8.000,5.000,10.000,784.000,60000.000,0.047,170.000
0.740,fashion_mnist,8.000,8.000,10.000,10.000,784.000,60000.000,0.047,237.000
0.638,fashion_mnist,8.000,8.000,20.000,10.000,784.000,60000.000,0.047,311.000
0.512,fashion_mnist,8.000,8.000,50.000,10.000,784.000,60000.000,0.047,512.000
0.588,fashion_mnist,8.000,9.000,2.000,10.000,784.000,60000.000,0.047,315.000
0.801,fashion_mnist,8.000,9.000,5.000,10.000,784.000,60000.000,0.047,152.000
0.805,fashion_mnist,8.000,9.000,10.000,10.000,784.000,60000.000,0.047,208.000
0.678,fashion_mnist,8.000,9.000,20.000,10.000,784.000,60000.000,0.047,278.000
0.544,fashion_mnist,8.000,9.000,50.000,10.000,784.000,60000.000,0.047,485.000
0.590,fashion_mnist,8.000,10.000,2.000,10.000,784.000,60000.000,0.047,320.000
0.802,fashion_mnist,8.000,10.000,5.000,10.000,784.000,60000.000,0.047,155.000
0.653,fashion_mnist,8.000,10.000,10.000,10.000,784.000,60000.000,0.047,215.000
0.689,fashion_mnist,8.000,10.000,20.000,10.000,784.000,60000.000,0.047,299.000
0.542,fashion_mnist,8.000,10.000,50.000,10.000,784.000,60000.000,0.047,504.000
