accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.215,intel_img_class,9.000,1.000,2.000,6.000,67500.000,11885.000,-0.016,637.000
0.286,intel_img_class,9.000,1.000,5.000,6.000,67500.000,11885.000,-0.016,621.000
0.307,intel_img_class,9.000,1.000,10.000,6.000,67500.000,11885.000,-0.016,1158.000
0.293,intel_img_class,9.000,1.000,20.000,6.000,67500.000,11885.000,-0.016,2245.000
0.307,intel_img_class,9.000,1.000,50.000,6.000,67500.000,11885.000,-0.016,6166.000
0.305,intel_img_class,9.000,2.000,2.000,6.000,67500.000,11885.000,-0.016,337.000
0.371,intel_img_class,9.000,2.000,5.000,6.000,67500.000,11885.000,-0.016,613.000
0.321,intel_img_class,9.000,2.000,10.000,6.000,67500.000,11885.000,-0.016,1099.000
0.306,intel_img_class,9.000,2.000,20.000,6.000,67500.000,11885.000,-0.016,2259.000
0.298,intel_img_class,9.000,2.000,50.000,6.000,67500.000,11885.000,-0.016,6199.000
0.304,intel_img_class,9.000,3.000,2.000,6.000,67500.000,11885.000,-0.016,308.000
0.393,intel_img_class,9.000,3.000,5.000,6.000,67500.000,11885.000,-0.016,593.000
0.389,intel_img_class,9.000,3.000,10.000,6.000,67500.000,11885.000,-0.016,1172.000
0.384,intel_img_class,9.000,3.000,20.000,6.000,67500.000,11885.000,-0.016,2304.000
0.390,intel_img_class,9.000,3.000,50.000,6.000,67500.000,11885.000,-0.016,6176.000
0.298,intel_img_class,9.000,4.000,2.000,6.000,67500.000,11885.000,-0.016,362.000
0.411,intel_img_class,9.000,4.000,5.000,6.000,67500.000,11885.000,-0.016,637.000
0.413,intel_img_class,9.000,4.000,10.000,6.000,67500.000,11885.000,-0.016,1146.000
0.405,intel_img_class,9.000,4.000,20.000,6.000,67500.000,11885.000,-0.016,2269.000
0.409,intel_img_class,9.000,4.000,50.000,6.000,67500.000,11885.000,-0.016,6184.000
0.317,intel_img_class,9.000,5.000,2.000,6.000,67500.000,11885.000,-0.016,357.000
0.406,intel_img_class,9.000,5.000,5.000,6.000,67500.000,11885.000,-0.016,632.000
0.420,intel_img_class,9.000,5.000,10.000,6.000,67500.000,11885.000,-0.016,1127.000
0.412,intel_img_class,9.000,5.000,20.000,6.000,67500.000,11885.000,-0.016,2302.000
0.419,intel_img_class,9.000,5.000,50.000,6.000,67500.000,11885.000,-0.016,6210.000
0.331,intel_img_class,9.000,6.000,2.000,6.000,67500.000,11885.000,-0.016,320.000
0.391,intel_img_class,9.000,6.000,5.000,6.000,67500.000,11885.000,-0.016,607.000
0.411,intel_img_class,9.000,6.000,10.000,6.000,67500.000,11885.000,-0.016,1108.000
0.417,intel_img_class,9.000,6.000,20.000,6.000,67500.000,11885.000,-0.016,5227.000
0.418,intel_img_class,9.000,6.000,50.000,6.000,67500.000,11885.000,-0.016,6280.000
0.312,intel_img_class,9.000,7.000,2.000,6.000,67500.000,11885.000,-0.016,309.000
0.410,intel_img_class,9.000,7.000,5.000,6.000,67500.000,11885.000,-0.016,602.000
0.418,intel_img_class,9.000,7.000,10.000,6.000,67500.000,11885.000,-0.016,1117.000
0.410,intel_img_class,9.000,7.000,20.000,6.000,67500.000,11885.000,-0.016,2289.000
0.368,intel_img_class,9.000,7.000,50.000,6.000,67500.000,11885.000,-0.016,6258.000
0.339,intel_img_class,9.000,8.000,2.000,6.000,67500.000,11885.000,-0.016,311.000
0.412,intel_img_class,9.000,8.000,5.000,6.000,67500.000,11885.000,-0.016,584.000
0.399,intel_img_class,9.000,8.000,10.000,6.000,67500.000,11885.000,-0.016,1141.000
0.352,intel_img_class,9.000,8.000,20.000,6.000,67500.000,11885.000,-0.016,2303.000
0.318,intel_img_class,9.000,8.000,50.000,6.000,67500.000,11885.000,-0.016,6264.000
0.325,intel_img_class,9.000,9.000,2.000,6.000,67500.000,11885.000,-0.016,308.000
0.405,intel_img_class,9.000,9.000,5.000,6.000,67500.000,11885.000,-0.016,603.000
0.346,intel_img_class,9.000,9.000,10.000,6.000,67500.000,11885.000,-0.016,1102.000
0.348,intel_img_class,9.000,9.000,20.000,6.000,67500.000,11885.000,-0.016,2283.000
0.245,intel_img_class,9.000,9.000,50.000,6.000,67500.000,11885.000,-0.016,6269.000
0.349,intel_img_class,9.000,10.000,2.000,6.000,67500.000,11885.000,-0.016,301.000
0.408,intel_img_class,9.000,10.000,5.000,6.000,67500.000,11885.000,-0.016,579.000
0.303,intel_img_class,9.000,10.000,10.000,6.000,67500.000,11885.000,-0.016,1145.000
