accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.183,mnist,38,1,2,10,784,60000,0.043,4600
0.618,mnist,38,1,5,10,784,60000,0.043,119
0.764,mnist,38,1,10,10,784,60000,0.043,150
0.802,mnist,38,1,20,10,784,60000,0.043,202
0.723,mnist,38,1,50,10,784,60000,0.043,402
0.649,mnist,38,2,2,10,784,60000,0.043,6119
0.901,mnist,38,2,5,10,784,60000,0.043,126
0.934,mnist,38,2,10,10,784,60000,0.043,158
0.958,mnist,38,2,20,10,784,60000,0.043,213
0.912,mnist,38,2,50,10,784,60000,0.043,356
0.64,mnist,38,3,2,10,784,60000,0.043,2629
0.902,mnist,38,3,5,10,784,60000,0.043,130
0.946,mnist,38,3,10,10,784,60000,0.043,162
0.957,mnist,38,3,20,10,784,60000,0.043,221
0.95,mnist,38,3,50,10,784,60000,0.043,370
0.646,mnist,38,4,2,10,784,60000,0.043,2109
0.901,mnist,38,4,5,10,784,60000,0.043,132
0.945,mnist,38,4,10,10,784,60000,0.043,166
0.956,mnist,38,4,20,10,784,60000,0.043,229
0.949,mnist,38,4,50,10,784,60000,0.043,384
0.649,mnist,38,5,2,10,784,60000,0.043,1407
0.905,mnist,38,5,5,10,784,60000,0.043,134
0.947,mnist,38,5,10,10,784,60000,0.043,172
0.956,mnist,38,5,20,10,784,60000,0.043,238
0.948,mnist,38,5,50,10,784,60000,0.043,406
0.695,mnist,38,6,2,10,784,60000,0.043,825
0.9,mnist,38,6,5,10,784,60000,0.043,165
0.948,mnist,38,6,10,10,784,60000,0.043,182
0.956,mnist,38,6,20,10,784,60000,0.043,296
0.949,mnist,38,6,50,10,784,60000,0.043,434
0.656,mnist,38,7,2,10,784,60000,0.043,1181
0.901,mnist,38,7,5,10,784,60000,0.043,146
0.946,mnist,38,7,10,10,784,60000,0.043,188
0.956,mnist,38,7,20,10,784,60000,0.043,264
0.949,mnist,38,7,50,10,784,60000,0.043,453
0.698,mnist,38,8,2,10,784,60000,0.043,974
0.903,mnist,38,8,5,10,784,60000,0.043,167
0.947,mnist,38,8,10,10,784,60000,0.043,235
0.955,mnist,38,8,20,10,784,60000,0.043,313
0.95,mnist,38,8,50,10,784,60000,0.043,527
0.649,mnist,38,9,2,10,784,60000,0.043,1176
0.903,mnist,38,9,5,10,784,60000,0.043,161
0.949,mnist,38,9,10,10,784,60000,0.043,230
0.956,mnist,38,9,20,10,784,60000,0.043,317
0.95,mnist,38,9,50,10,784,60000,0.043,540
0.619,mnist,38,10,2,10,784,60000,0.043,777
0.904,mnist,38,10,5,10,784,60000,0.043,172
0.947,mnist,38,10,10,10,784,60000,0.043,241
0.956,mnist,38,10,20,10,784,60000,0.043,327
0.949,mnist,38,10,50,10,784,60000,0.043,564
0.751,mnist,38,11,2,10,784,60000,0.043,655
0.906,mnist,38,11,5,10,784,60000,0.043,153
0.948,mnist,38,11,10,10,784,60000,0.043,213
0.956,mnist,38,11,20,10,784,60000,0.043,293
0.949,mnist,38,11,50,10,784,60000,0.043,527
0.698,mnist,38,12,2,10,784,60000,0.043,773
0.903,mnist,38,12,5,10,784,60000,0.043,180
0.948,mnist,38,12,10,10,784,60000,0.043,243
0.956,mnist,38,12,20,10,784,60000,0.043,339
0.949,mnist,38,12,50,10,784,60000,0.043,604
0.698,mnist,38,13,2,10,784,60000,0.043,955
0.903,mnist,38,13,5,10,784,60000,0.043,176
0.947,mnist,38,13,10,10,784,60000,0.043,250
0.955,mnist,38,13,20,10,784,60000,0.043,326
0.948,mnist,38,13,50,10,784,60000,0.043,562
0.686,mnist,38,14,2,10,784,60000,0.043,669
0.906,mnist,38,14,5,10,784,60000,0.043,161
0.948,mnist,38,14,10,10,784,60000,0.043,230
0.955,mnist,38,14,20,10,784,60000,0.043,334
0.949,mnist,38,14,50,10,784,60000,0.043,574
0.797,mnist,38,15,2,10,784,60000,0.043,532
0.901,mnist,38,15,5,10,784,60000,0.043,161
0.94,mnist,38,15,10,10,784,60000,0.043,235
0.936,mnist,38,15,20,10,784,60000,0.043,339
0.948,mnist,38,15,50,10,784,60000,0.043,599
0.697,mnist,38,16,2,10,784,60000,0.043,581
0.901,mnist,38,16,5,10,784,60000,0.043,173
0.946,mnist,38,16,10,10,784,60000,0.043,235
0.929,mnist,38,16,20,10,784,60000,0.043,335
0.948,mnist,38,16,50,10,784,60000,0.043,605
0.74,mnist,38,17,2,10,784,60000,0.043,518
0.902,mnist,38,17,5,10,784,60000,0.043,176
0.902,mnist,38,17,10,10,784,60000,0.043,236
0.952,mnist,38,17,20,10,784,60000,0.043,347
0.947,mnist,38,17,50,10,784,60000,0.043,620
0.74,mnist,38,18,2,10,784,60000,0.043,527
0.905,mnist,38,18,5,10,784,60000,0.043,186
0.759,mnist,38,18,10,10,784,60000,0.043,248
0.945,mnist,38,18,20,10,784,60000,0.043,361
0.94,mnist,38,18,50,10,784,60000,0.043,651
0.725,mnist,38,19,2,10,784,60000,0.043,590
0.904,mnist,38,19,5,10,784,60000,0.043,190
0.566,mnist,38,19,10,10,784,60000,0.043,259
0.933,mnist,38,19,20,10,784,60000,0.043,380
0.852,mnist,38,19,50,10,784,60000,0.043,664
0.652,mnist,38,20,2,10,784,60000,0.043,601
0.905,mnist,38,20,5,10,784,60000,0.043,183
0.21,mnist,38,20,10,10,784,60000,0.043,260
0.567,mnist,38,20,20,10,784,60000,0.043,381
0.946,mnist,38,20,50,10,784,60000,0.043,721
0.726,mnist,38,21,2,10,784,60000,0.043,575
0.905,mnist,38,21,5,10,784,60000,0.043,196
0.669,mnist,38,21,10,10,784,60000,0.043,278
0.55,mnist,38,21,20,10,784,60000,0.043,410
0.942,mnist,38,21,50,10,784,60000,0.043,739
0.812,mnist,38,22,2,10,784,60000,0.043,523
0.902,mnist,38,22,5,10,784,60000,0.043,195
0.431,mnist,38,22,10,10,784,60000,0.043,278
0.65,mnist,38,22,20,10,784,60000,0.043,424
0.843,mnist,38,22,50,10,784,60000,0.043,797
0.709,mnist,38,23,2,10,784,60000,0.043,576
0.902,mnist,38,23,5,10,784,60000,0.043,196
0.272,mnist,38,23,10,10,784,60000,0.043,278
0.37,mnist,38,23,20,10,784,60000,0.043,410
0.944,mnist,38,23,50,10,784,60000,0.043,781
0.705,mnist,38,24,2,10,784,60000,0.043,526
0.901,mnist,38,24,5,10,784,60000,0.043,200
0.351,mnist,38,24,10,10,784,60000,0.043,285
0.212,mnist,38,24,20,10,784,60000,0.043,417
0.867,mnist,38,24,50,10,784,60000,0.043,808
0.679,mnist,38,25,2,10,784,60000,0.043,539
0.9,mnist,38,25,5,10,784,60000,0.043,208
0.268,mnist,38,25,10,10,784,60000,0.043,289
0.186,mnist,38,25,20,10,784,60000,0.043,438
0.743,mnist,38,25,50,10,784,60000,0.043,823
0.68,mnist,38,26,2,10,784,60000,0.043,553
0.895,mnist,38,26,5,10,784,60000,0.043,208
0.103,mnist,38,26,10,10,784,60000,0.043,294
0.187,mnist,38,26,20,10,784,60000,0.043,438
0.199,mnist,38,26,50,10,784,60000,0.043,843
0.736,mnist,38,27,2,10,784,60000,0.043,520
0.876,mnist,38,27,5,10,784,60000,0.043,214
0.114,mnist,38,27,10,10,784,60000,0.043,314
0.234,mnist,38,27,20,10,784,60000,0.043,453
0.098,mnist,38,27,50,10,784,60000,0.043,863
0.687,mnist,38,28,2,10,784,60000,0.043,556
0.901,mnist,38,28,5,10,784,60000,0.043,215
0.114,mnist,38,28,10,10,784,60000,0.043,319
0.098,mnist,38,28,20,10,784,60000,0.043,468
0.291,mnist,38,28,50,10,784,60000,0.043,895
