accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.759,shipsnet,7,1,2,2,19200,2800,0.007,165
0.873,shipsnet,7,1,5,2,19200,2800,0.007,159
0.815,shipsnet,7,1,10,2,19200,2800,0.007,163
0.798,shipsnet,7,1,20,2,19200,2800,0.007,165
0.791,shipsnet,7,1,50,2,19200,2800,0.007,171
0.729,shipsnet,7,2,2,2,19200,2800,0.007,161
0.902,shipsnet,7,2,5,2,19200,2800,0.007,180
0.891,shipsnet,7,2,10,2,19200,2800,0.007,184
0.873,shipsnet,7,2,20,2,19200,2800,0.007,186
0.713,shipsnet,7,2,50,2,19200,2800,0.007,175
0.748,shipsnet,7,3,2,2,19200,2800,0.007,157
0.91,shipsnet,7,3,5,2,19200,2800,0.007,155
0.896,shipsnet,7,3,10,2,19200,2800,0.007,169
0.882,shipsnet,7,3,20,2,19200,2800,0.007,177
0.787,shipsnet,7,3,50,2,19200,2800,0.007,179
0.783,shipsnet,7,4,2,2,19200,2800,0.007,159
0.921,shipsnet,7,4,5,2,19200,2800,0.007,159
0.897,shipsnet,7,4,10,2,19200,2800,0.007,165
0.88,shipsnet,7,4,20,2,19200,2800,0.007,172
0.28,shipsnet,7,4,50,2,19200,2800,0.007,181
0.792,shipsnet,7,5,2,2,19200,2800,0.007,160
0.914,shipsnet,7,5,5,2,19200,2800,0.007,169
0.905,shipsnet,7,5,10,2,19200,2800,0.007,173
0.847,shipsnet,7,5,20,2,19200,2800,0.007,171
0.378,shipsnet,7,5,50,2,19200,2800,0.007,190
0.779,shipsnet,7,6,2,2,19200,2800,0.007,164
0.909,shipsnet,7,6,5,2,19200,2800,0.007,160
0.723,shipsnet,7,6,10,2,19200,2800,0.007,166
0.452,shipsnet,7,6,20,2,19200,2800,0.007,178
0.743,shipsnet,7,6,50,2,19200,2800,0.007,187
0.762,shipsnet,7,7,2,2,19200,2800,0.007,163
0.916,shipsnet,7,7,5,2,19200,2800,0.007,163
0.895,shipsnet,7,7,10,2,19200,2800,0.007,166
0.374,shipsnet,7,7,20,2,19200,2800,0.007,173
0.743,shipsnet,7,7,50,2,19200,2800,0.007,189
0.776,shipsnet,7,8,2,2,19200,2800,0.007,164
0.922,shipsnet,7,8,5,2,19200,2800,0.007,163
0.862,shipsnet,7,8,10,2,19200,2800,0.007,168
0.686,shipsnet,7,8,20,2,19200,2800,0.007,174
0.287,shipsnet,7,8,50,2,19200,2800,0.007,191
0.781,shipsnet,7,9,2,2,19200,2800,0.007,163
0.917,shipsnet,7,9,5,2,19200,2800,0.007,158
0.891,shipsnet,7,9,10,2,19200,2800,0.007,165
0.452,shipsnet,7,9,20,2,19200,2800,0.007,173
0.257,shipsnet,7,9,50,2,19200,2800,0.007,191
0.821,shipsnet,7,10,2,2,19200,2800,0.007,164
0.915,shipsnet,7,10,5,2,19200,2800,0.007,162
0.842,shipsnet,7,10,10,2,19200,2800,0.007,171
0.297,shipsnet,7,10,20,2,19200,2800,0.007,176
0.257,shipsnet,7,10,50,2,19200,2800,0.007,193
0.735,shipsnet,7,11,2,2,19200,2800,0.007,163
0.913,shipsnet,7,11,5,2,19200,2800,0.007,169
0.878,shipsnet,7,11,10,2,19200,2800,0.007,182
0.482,shipsnet,7,11,20,2,19200,2800,0.007,189
0.845,shipsnet,7,11,50,2,19200,2800,0.007,203
0.779,shipsnet,7,12,2,2,19200,2800,0.007,164
0.923,shipsnet,7,12,5,2,19200,2800,0.007,168
0.322,shipsnet,7,12,10,2,19200,2800,0.007,171
0.749,shipsnet,7,12,20,2,19200,2800,0.007,188
0.862,shipsnet,7,12,50,2,19200,2800,0.007,199
0.818,shipsnet,7,13,2,2,19200,2800,0.007,155
0.917,shipsnet,7,13,5,2,19200,2800,0.007,161
0.89,shipsnet,7,13,10,2,19200,2800,0.007,166
0.257,shipsnet,7,13,20,2,19200,2800,0.007,177
0.687,shipsnet,7,13,50,2,19200,2800,0.007,199
0.775,shipsnet,7,14,2,2,19200,2800,0.007,155
0.923,shipsnet,7,14,5,2,19200,2800,0.007,175
0.897,shipsnet,7,14,10,2,19200,2800,0.007,187
0.644,shipsnet,7,14,20,2,19200,2800,0.007,189
0.552,shipsnet,7,14,50,2,19200,2800,0.007,206
