accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.595,umist,14,1,2,20,10304,402,0.081,16
0.624,umist,14,1,5,20,10304,402,0.081,7
0.335,umist,14,1,10,20,10304,402,0.081,8
0.353,umist,14,1,20,20,10304,402,0.081,9
0.329,umist,14,1,50,20,10304,402,0.081,10
0.532,umist,14,2,2,20,10304,402,0.081,9
0.879,umist,14,2,5,20,10304,402,0.081,7
0.798,umist,14,2,10,20,10304,402,0.081,8
0.445,umist,14,2,20,20,10304,402,0.081,9
0.532,umist,14,2,50,20,10304,402,0.081,10
0.532,umist,14,3,2,20,10304,402,0.081,9
0.89,umist,14,3,5,20,10304,402,0.081,7
0.78,umist,14,3,10,20,10304,402,0.081,8
0.717,umist,14,3,20,20,10304,402,0.081,8
0.243,umist,14,3,50,20,10304,402,0.081,10
0.52,umist,14,4,2,20,10304,402,0.081,9
0.89,umist,14,4,5,20,10304,402,0.081,7
0.78,umist,14,4,10,20,10304,402,0.081,8
0.682,umist,14,4,20,20,10304,402,0.081,9
0.434,umist,14,4,50,20,10304,402,0.081,10
0.52,umist,14,5,2,20,10304,402,0.081,9
0.873,umist,14,5,5,20,10304,402,0.081,7
0.78,umist,14,5,10,20,10304,402,0.081,8
0.671,umist,14,5,20,20,10304,402,0.081,9
0.243,umist,14,5,50,20,10304,402,0.081,11
0.618,umist,14,6,2,20,10304,402,0.081,9
0.89,umist,14,6,5,20,10304,402,0.081,7
0.792,umist,14,6,10,20,10304,402,0.081,9
0.682,umist,14,6,20,20,10304,402,0.081,9
0.116,umist,14,6,50,20,10304,402,0.081,11
0.555,umist,14,7,2,20,10304,402,0.081,7
0.873,umist,14,7,5,20,10304,402,0.081,7
0.821,umist,14,7,10,20,10304,402,0.081,8
0.699,umist,14,7,20,20,10304,402,0.081,9
0.052,umist,14,7,50,20,10304,402,0.081,11
0.584,umist,14,8,2,20,10304,402,0.081,7
0.89,umist,14,8,5,20,10304,402,0.081,7
0.711,umist,14,8,10,20,10304,402,0.081,8
0.694,umist,14,8,20,20,10304,402,0.081,9
0.081,umist,14,8,50,20,10304,402,0.081,11
0.636,umist,14,9,2,20,10304,402,0.081,7
0.89,umist,14,9,5,20,10304,402,0.081,7
0.688,umist,14,9,10,20,10304,402,0.081,8
0.595,umist,14,9,20,20,10304,402,0.081,10
0.052,umist,14,9,50,20,10304,402,0.081,12
0.595,umist,14,10,2,20,10304,402,0.081,7
0.867,umist,14,10,5,20,10304,402,0.081,8
0.624,umist,14,10,10,20,10304,402,0.081,9
0.526,umist,14,10,20,20,10304,402,0.081,10
0.358,umist,14,10,50,20,10304,402,0.081,13
0.59,umist,14,11,2,20,10304,402,0.081,7
0.884,umist,14,11,5,20,10304,402,0.081,8
0.607,umist,14,11,10,20,10304,402,0.081,9
0.538,umist,14,11,20,20,10304,402,0.081,10
0.058,umist,14,11,50,20,10304,402,0.081,12
0.642,umist,14,12,2,20,10304,402,0.081,7
0.884,umist,14,12,5,20,10304,402,0.081,7
0.699,umist,14,12,10,20,10304,402,0.081,9
0.462,umist,14,12,20,20,10304,402,0.081,10
0.116,umist,14,12,50,20,10304,402,0.081,13
0.618,umist,14,13,2,20,10304,402,0.081,7
0.879,umist,14,13,5,20,10304,402,0.081,8
0.572,umist,14,13,10,20,10304,402,0.081,8
0.052,umist,14,13,20,20,10304,402,0.081,10
0.162,umist,14,13,50,20,10304,402,0.081,13
0.653,umist,14,14,2,20,10304,402,0.081,7
0.861,umist,14,14,5,20,10304,402,0.081,8
0.699,umist,14,14,10,20,10304,402,0.081,9
0.081,umist,14,14,20,20,10304,402,0.081,10
0.173,umist,14,14,50,20,10304,402,0.081,13
0.647,umist,14,15,2,20,10304,402,0.081,7
0.884,umist,14,15,5,20,10304,402,0.081,8
0.555,umist,14,15,10,20,10304,402,0.081,9
0.145,umist,14,15,20,20,10304,402,0.081,10
0.081,umist,14,15,50,20,10304,402,0.081,14
0.601,umist,14,16,2,20,10304,402,0.081,7
0.879,umist,14,16,5,20,10304,402,0.081,7
0.434,umist,14,16,10,20,10304,402,0.081,9
0.104,umist,14,16,20,20,10304,402,0.081,10
0.046,umist,14,16,50,20,10304,402,0.081,14
0.613,umist,14,17,2,20,10304,402,0.081,7
0.884,umist,14,17,5,20,10304,402,0.081,8
0.249,umist,14,17,10,20,10304,402,0.081,9
0.058,umist,14,17,20,20,10304,402,0.081,11
0.116,umist,14,17,50,20,10304,402,0.081,14
0.618,umist,14,18,2,20,10304,402,0.081,7
