accuracy,dataset,intr_dim,n_components,n_neighbors,n_of_classes,n_of_features,n_of_instances,silhouette,time
0.42,usps,22,1,2,10,256,7291,0.116,59
0.822,usps,22,1,5,10,256,7291,0.116,35
0.656,usps,22,1,10,10,256,7291,0.116,49
0.494,usps,22,1,20,10,256,7291,0.116,50
0.554,usps,22,1,50,10,256,7291,0.116,90
0.614,usps,22,2,2,10,256,7291,0.116,27
0.858,usps,22,2,5,10,256,7291,0.116,36
0.918,usps,22,2,10,10,256,7291,0.116,40
0.921,usps,22,2,20,10,256,7291,0.116,66
0.892,usps,22,2,50,10,256,7291,0.116,79
0.707,usps,22,3,2,10,256,7291,0.116,23
0.889,usps,22,3,5,10,256,7291,0.116,27
0.917,usps,22,3,10,10,256,7291,0.116,37
0.92,usps,22,3,20,10,256,7291,0.116,54
0.898,usps,22,3,50,10,256,7291,0.116,77
0.667,usps,22,4,2,10,256,7291,0.116,21
0.868,usps,22,4,5,10,256,7291,0.116,28
0.916,usps,22,4,10,10,256,7291,0.116,41
0.922,usps,22,4,20,10,256,7291,0.116,54
0.903,usps,22,4,50,10,256,7291,0.116,82
0.712,usps,22,5,2,10,256,7291,0.116,21
0.865,usps,22,5,5,10,256,7291,0.116,30
0.914,usps,22,5,10,10,256,7291,0.116,43
0.918,usps,22,5,20,10,256,7291,0.116,57
0.902,usps,22,5,50,10,256,7291,0.116,86
0.759,usps,22,6,2,10,256,7291,0.116,24
0.871,usps,22,6,5,10,256,7291,0.116,38
0.918,usps,22,6,10,10,256,7291,0.116,44
0.92,usps,22,6,20,10,256,7291,0.116,61
0.9,usps,22,6,50,10,256,7291,0.116,93
0.703,usps,22,7,2,10,256,7291,0.116,22
0.863,usps,22,7,5,10,256,7291,0.116,38
0.917,usps,22,7,10,10,256,7291,0.116,54
0.917,usps,22,7,20,10,256,7291,0.116,72
0.902,usps,22,7,50,10,256,7291,0.116,114
0.773,usps,22,8,2,10,256,7291,0.116,22
0.867,usps,22,8,5,10,256,7291,0.116,39
0.916,usps,22,8,10,10,256,7291,0.116,54
0.918,usps,22,8,20,10,256,7291,0.116,73
0.901,usps,22,8,50,10,256,7291,0.116,115
0.79,usps,22,9,2,10,256,7291,0.116,21
0.863,usps,22,9,5,10,256,7291,0.116,33
0.915,usps,22,9,10,10,256,7291,0.116,46
0.918,usps,22,9,20,10,256,7291,0.116,64
0.899,usps,22,9,50,10,256,7291,0.116,104
0.671,usps,22,10,2,10,256,7291,0.116,22
0.868,usps,22,10,5,10,256,7291,0.116,34
0.916,usps,22,10,10,10,256,7291,0.116,48
0.921,usps,22,10,20,10,256,7291,0.116,68
0.904,usps,22,10,50,10,256,7291,0.116,107
0.78,usps,22,11,2,10,256,7291,0.116,25
0.864,usps,22,11,5,10,256,7291,0.116,35
0.917,usps,22,11,10,10,256,7291,0.116,49
0.919,usps,22,11,20,10,256,7291,0.116,68
0.902,usps,22,11,50,10,256,7291,0.116,108
0.773,usps,22,12,2,10,256,7291,0.116,22
0.873,usps,22,12,5,10,256,7291,0.116,35
0.919,usps,22,12,10,10,256,7291,0.116,50
0.921,usps,22,12,20,10,256,7291,0.116,70
0.9,usps,22,12,50,10,256,7291,0.116,114
0.783,usps,22,13,2,10,256,7291,0.116,25
0.868,usps,22,13,5,10,256,7291,0.116,35
0.91,usps,22,13,10,10,256,7291,0.116,52
0.853,usps,22,13,20,10,256,7291,0.116,73
0.9,usps,22,13,50,10,256,7291,0.116,120
0.784,usps,22,14,2,10,256,7291,0.116,23
0.863,usps,22,14,5,10,256,7291,0.116,37
0.913,usps,22,14,10,10,256,7291,0.116,53
0.796,usps,22,14,20,10,256,7291,0.116,73
0.901,usps,22,14,50,10,256,7291,0.116,125
0.727,usps,22,15,2,10,256,7291,0.116,26
0.865,usps,22,15,5,10,256,7291,0.116,42
0.816,usps,22,15,10,10,256,7291,0.116,60
0.909,usps,22,15,20,10,256,7291,0.116,88
0.89,usps,22,15,50,10,256,7291,0.116,143
0.799,usps,22,16,2,10,256,7291,0.116,26
0.867,usps,22,16,5,10,256,7291,0.116,43
0.776,usps,22,16,10,10,256,7291,0.116,61
0.842,usps,22,16,20,10,256,7291,0.116,87
0.89,usps,22,16,50,10,256,7291,0.116,145
